release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,release_month,profit,roi,movie_id,primary_title,genres
"Mar 9, 2012",Silent House,2000000,12739737,16610760,2012,Mar,14610760,730.54,tt1767382,Silent House,"Drama,Horror,Mystery"
"Apr 8, 2016",Hardcore Henry,2000000,9252038,17187434,2016,Apr,15187434,759.37,tt3072482,Hardcore Henry,"Action,Adventure,Sci-Fi"
"Jun 11, 2010",Winter's Bone,2000000,6531503,16131551,2010,Jun,14131551,706.58,tt1399683,Winter's Bone,"Drama,Mystery"
"Oct 10, 2014",Meet the Mormons,2000000,6047363,6049171,2014,Oct,4049171,202.46,tt4003774,Meet the Mormons,Documentary
"Oct 6, 2017",The Florida Project,2000000,5904366,11295324,2017,Oct,9295324,464.77,tt5649144,The Florida Project,Drama
"Aug 20, 2003",Thirteen,2000000,4601043,9505996,2003,Aug,7505996,375.3,tt4080028,Thirteen,Drama
"Oct 8, 2010",Inside Job,2000000,4311834,7799257,2010,Oct,5799257,289.96,tt1645089,Inside Job,"Crime,Documentary"
"Aug 28, 2015",We Are Your Friends,2000000,3591417,10153415,2015,Aug,8153415,407.67,tt3787590,We Are Your Friends,"Drama,Music,Romance"
"Nov 28, 2014",The Babadook,2000000,950792,7482387,2014,Nov,5482387,274.12,tt2321549,The Babadook,"Drama,Horror"
"Oct 9, 2015",Knock Knock,2000000,36336,6328516,2015,Oct,4328516,216.43,tt3605418,Knock Knock,"Drama,Thriller"
"Sep 24, 2010",Buried,1987650,1044143,21270290,2010,Sep,19282640,970.12,tt1462758,Buried,"Drama,Mystery,Thriller"
"Feb 8, 2013",ABCD (Any Body Can Dance),1900000,222098,10137234,2013,Feb,8237234,433.54,tt2321163,ABCD (Any Body Can Dance),"Drama,Music"
"Aug 27, 2010",The Last Exorcism,1800000,41034350,70165900,2010,Aug,68365900,3798.11,tt1320244,The Last Exorcism,"Drama,Horror,Thriller"
"Jun 27, 2012",Beasts of the Southern Wild,1800000,12795746,23265132,2012,Jun,21465132,1192.51,tt2125435,Beasts of the Southern Wild,"Adventure,Drama,Fantasy"
"Feb 28, 2014",The Lunchbox,1700000,4231500,12231500,2014,Feb,10531500,619.5,tt2350496,The Lunchbox,"Drama,Romance"
"Apr 1, 2011",Insidious,1500000,54009150,99870886,2011,Apr,98370886,6558.06,tt1591095,Insidious,"Horror,Mystery,Thriller"
"Oct 21, 2016",Moonlight,1500000,27854931,65245512,2016,Oct,63745512,4249.7,tt4975722,Moonlight,Drama
"Sep 12, 2003",Cabin Fever,1500000,21158188,30351664,2003,Sep,28851664,1923.44,tt3832096,Cabin Fever,Horror
"May 2, 2007",Waitress,1500000,19097550,22217183,2007,May,20717183,1381.15,tt3253430,Waitress,Drama
"Mar 23, 2018",Unsane,1500000,7690044,14244931,2018,Mar,12744931,849.66,tt7153766,Unsane,"Drama,Horror,Mystery"
"Nov 20, 2015",Mustang,1400000,845464,5552584,2015,Nov,4152584,296.61,tt3966404,Mustang,Drama
"Oct 17, 2014",Dear White People,1250000,4404154,5403771,2014,Oct,4153771,332.3,tt2235108,Dear White People,"Comedy,Drama,Romance"
"Jan 6, 2012",The Devil Inside,1000000,53262945,101759490,2012,Jan,100759490,10075.95,tt1560985,The Devil Inside,Horror
"Apr 17, 2015",Unfriended,1000000,32789645,64364198,2015,Apr,63364198,6336.42,tt3713166,Unfriended,"Horror,Mystery,Thriller"
"Aug 23, 2013",You're Next,1000000,18494006,26887177,2013,Aug,25887177,2588.72,tt1853739,You're Next,"Action,Comedy,Horror"
